	ECAH1	ECAH2	ECAH3	ECAH4	ECAH5	ECAH6	ECG1	ECG2	ECG3	ECG4	ECG5	ECG6	ORAPG1	ORAPG2	ORAPG3	ORAPG4	ORAPG5	ORAPG6
Pocillopora_acuta_HIv2___RNAseq.g23029.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g2303.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23030.t1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23031.t1a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23031.t1b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23032.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23033.t1	0	0	0	1	0	0	2	1	0	1	1	1	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23034.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23037.t1	0	1	2	0	0	0	3	2	8	1	2	1	0	0	0	1	0	1
Pocillopora_acuta_HIv2___RNAseq.g2304.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23040.t1	24	13	17	24	9	9	10	18	14	6	5	2	13	5	15	13	5	6
Pocillopora_acuta_HIv2___RNAseq.g23041.t1	32	25	21	12	17	19	29	24	33	22	32	25	21	22	25	34	26	18
Pocillopora_acuta_HIv2___RNAseq.g23043.t1	8	5	9	5	3	5	2	3	5	1	8	7	8	4	5	9	3	3
Pocillopora_acuta_HIv2___RNAseq.g23045.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23046.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23048.t1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	7	6	1
Pocillopora_acuta_HIv2___RNAseq.g23049.t1	51	47	53	16	8	16	0	0	0	0	0	0	25	25	25	8	26	4
Pocillopora_acuta_HIv2___RNAseq.g2305.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23050.t1	128	68	77	78	82	95	45	48	55	12	28	16	79	73	83	113	79	57
Pocillopora_acuta_HIv2___RNAseq.g23051.t1	102	84	88	126	66	84	77	60	82	60	55	40	71	58	81	38	47	26
Pocillopora_acuta_HIv2___RNAseq.g23052.t1	153	90	100	141	80	113	105	104	124	81	75	76	93	106	90	84	87	57
Pocillopora_acuta_HIv2___RNAseq.g23053.t1	165	119	123	204	108	113	155	180	194	70	76	52	110	125	159	170	112	93
Pocillopora_acuta_HIv2___RNAseq.g23054.t1	65	59	49	77	34	46	54	46	54	37	35	20	54	33	45	80	39	27
Pocillopora_acuta_HIv2___RNAseq.g23055.t1a	1	2	1	1	1	0	1	3	1	1	0	0	0	2	1	0	0	1
Pocillopora_acuta_HIv2___RNAseq.g23055.t1b	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23056.t1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23057.t1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23058.t1	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	1	0
Pocillopora_acuta_HIv2___RNAseq.g2306.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23061.t1	14	10	12	6	4	9	0	3	7	0	1	0	0	1	0	0	2	0
Pocillopora_acuta_HIv2___RNAseq.g23062.t1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	3	1	3
Pocillopora_acuta_HIv2___RNAseq.g23064.t1	25	29	18	42	24	39	16	21	22	16	12	18	34	25	24	18	16	12
Pocillopora_acuta_HIv2___RNAseq.g23065.t1	1	2	2	3	1	0	1	2	3	1	3	0	1	0	2	2	3	0
Pocillopora_acuta_HIv2___RNAseq.g23066.t1	122	91	88	137	70	98	92	71	96	56	52	35	47	66	77	119	61	40
Pocillopora_acuta_HIv2___RNAseq.g23067.t1	108	61	88	176	91	106	122	97	97	64	58	56	50	63	82	92	70	53
Pocillopora_acuta_HIv2___RNAseq.g23069.t1a	1	4	7	7	0	1	31	30	42	21	21	15	1	3	3	4	1	0
Pocillopora_acuta_HIv2___RNAseq.g23069.t1b	12	7	11	6	8	7	30	22	29	17	18	8	4	3	4	2	0	0
Pocillopora_acuta_HIv2___RNAseq.g2307.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23070.t1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23071.t1	22	24	26	31	13	23	25	25	31	17	17	9	12	18	24	20	24	13
Pocillopora_acuta_HIv2___RNAseq.g23073.t1	7	11	2	9	5	5	8	9	10	2	0	2	12	9	10	29	13	9
Pocillopora_acuta_HIv2___RNAseq.g23076.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23077.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23078.t1	293	201	220	339	166	236	233	207	237	137	138	97	143	140	190	244	183	114
Pocillopora_acuta_HIv2___RNAseq.g2308.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23080.t1	0	1	0	1	0	1	0	0	1	0	0	1	0	1	2	1	0	0
Pocillopora_acuta_HIv2___RNAseq.g23081.t1	17	18	9	35	15	15	9	8	8	8	20	8	26	24	25	66	64	40
Pocillopora_acuta_HIv2___RNAseq.g23082.t1	22	11	14	34	17	20	15	17	23	5	19	9	11	20	15	31	16	17
Pocillopora_acuta_HIv2___RNAseq.g23083.t1	0	0	0	1	0	0	0	2	0	2	1	1	3	3	3	78	24	60
Pocillopora_acuta_HIv2___RNAseq.g23084.t1	0	0	0	0	0	0	0	1	0	1	1	7	1	3	2	97	15	65
Pocillopora_acuta_HIv2___RNAseq.g23085.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3
Pocillopora_acuta_HIv2___RNAseq.g23086.t1	9	1	2	4	8	5	0	2	1	4	10	9	5	0	0	2	0	4
Pocillopora_acuta_HIv2___RNAseq.g23088.t1	35	26	28	35	36	37	51	30	41	37	44	28	33	28	21	16	21	11
Pocillopora_acuta_HIv2___RNAseq.g23090.t1	0	0	1	2	0	0	4	3	3	0	0	0	1	1	1	1	0	1
Pocillopora_acuta_HIv2___RNAseq.g23091.t1	1	1	0	2	0	0	2	0	1	0	0	0	2	0	5	1	1	3
Pocillopora_acuta_HIv2___RNAseq.g23092.t1	3	2	2	3	6	1	6	4	2	2	1	0	0	1	4	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23096.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23098.t2	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	1	1	0
Pocillopora_acuta_HIv2___RNAseq.g23099.t1	48	12	15	12	6	11	15	17	14	57	57	60	8	5	11	21	9	20
Pocillopora_acuta_HIv2___RNAseq.g231.t1	6	2	4	10	7	5	71	56	45	46	47	34	8	9	9	22	16	8
Pocillopora_acuta_HIv2___RNAseq.g2310.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23100.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23101.t1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23102.t1	99	88	102	192	105	114	125	105	122	101	112	70	107	90	110	182	130	110
Pocillopora_acuta_HIv2___RNAseq.g23104.t1	37	19	24	32	35	27	17	22	20	14	14	12	26	29	23	14	29	6
Pocillopora_acuta_HIv2___RNAseq.g23105.t1	11	12	10	24	11	14	8	6	10	4	4	4	6	6	5	8	11	1
Pocillopora_acuta_HIv2___RNAseq.g23109.t1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23110.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23111.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23112.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23114.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23115.t1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23117.t1	1	1	2	5	0	1	2	0	0	2	1	0	0	0	1	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23118.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23119.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23120.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23121.t1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23122.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23123.t1	1	2	0	2	0	0	0	1	0	0	1	0	2	2	2	3	2	1
Pocillopora_acuta_HIv2___RNAseq.g23124.t1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23127.t1	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23128.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23129.t1	1	0	1	1	0	0	1	1	0	0	0	1	0	0	0	1	0	0
Pocillopora_acuta_HIv2___RNAseq.g23130.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23131.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23132.t1	20	20	24	19	4	14	14	13	14	7	15	6	2	8	14	8	10	11
Pocillopora_acuta_HIv2___RNAseq.g23134.t1	28	19	20	33	19	21	26	19	33	10	14	11	29	14	25	18	16	13
Pocillopora_acuta_HIv2___RNAseq.g23137.t1	4	3	3	2	4	1	2	4	1	2	1	1	4	1	2	2	2	1
Pocillopora_acuta_HIv2___RNAseq.g23138.t1	127	139	134	196	147	171	105	90	126	78	89	71	98	118	137	243	147	100
Pocillopora_acuta_HIv2___RNAseq.g23139.t1	2	1	0	2	0	2	0	1	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g2314.t1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23140.t1	10	11	6	19	16	13	10	5	12	3	4	7	8	6	6	8	9	5
Pocillopora_acuta_HIv2___RNAseq.g23141.t1	45	27	25	24	20	14	36	31	30	11	22	19	24	27	26	22	33	13
Pocillopora_acuta_HIv2___RNAseq.g23143.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23144.t2	64	62	76	102	56	59	53	46	63	28	34	24	51	43	44	29	37	21
Pocillopora_acuta_HIv2___RNAseq.g23145.t1	29	24	25	30	23	19	19	24	26	22	18	20	16	15	19	15	15	14
Pocillopora_acuta_HIv2___RNAseq.g23147.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23148.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23149.t2	429	317	279	489	262	318	245	233	286	158	166	113	184	163	215	152	123	93
Pocillopora_acuta_HIv2___RNAseq.g2315.t1a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g2315.t1b	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1
Pocillopora_acuta_HIv2___RNAseq.g2315.t1c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g2315.t1d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23150.t1	9	10	8	17	10	9	17	15	23	10	16	9	4	7	5	21	10	5
Pocillopora_acuta_HIv2___RNAseq.g23151.t2	38	33	31	43	17	23	25	23	29	11	14	8	12	18	18	6	7	6
Pocillopora_acuta_HIv2___RNAseq.g23152.t1	1	1	4	2	3	5	3	1	0	4	1	1	5	3	3	6	8	1
Pocillopora_acuta_HIv2___RNAseq.g23153.t1	2	1	0	0	0	3	0	0	0	0	1	0	0	0	0	1	0	0
Pocillopora_acuta_HIv2___RNAseq.g23154.t1a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23154.t1b	27	12	11	38	15	17	6	12	7	10	11	6	12	11	11	21	7	10
Pocillopora_acuta_HIv2___RNAseq.g23155.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23157.t1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23158.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23159.t1	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	1	0	0
Pocillopora_acuta_HIv2___RNAseq.g23160.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23162.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23164.t2	111	75	71	145	89	98	101	71	84	57	45	29	58	60	66	73	83	40
Pocillopora_acuta_HIv2___RNAseq.g23165.t1	42	29	38	65	30	28	33	29	36	24	14	12	30	24	53	50	30	22
Pocillopora_acuta_HIv2___RNAseq.g23168.t1	53	36	39	104	50	54	48	41	38	24	37	29	55	52	57	82	62	42
Pocillopora_acuta_HIv2___RNAseq.g23169.t1	58	37	33	70	53	42	37	25	44	35	25	16	26	30	32	35	41	14
Pocillopora_acuta_HIv2___RNAseq.g2317.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23170.t1	7	5	3	5	2	4	3	1	0	3	3	2	7	5	6	10	13	5
Pocillopora_acuta_HIv2___RNAseq.g23171.t1	123	85	100	97	60	88	124	102	102	73	87	63	100	100	104	68	82	24
Pocillopora_acuta_HIv2___RNAseq.g23172.t1	165	134	149	180	122	163	161	139	108	110	157	112	147	116	150	107	122	51
Pocillopora_acuta_HIv2___RNAseq.g23173.t1	34	27	21	49	29	41	36	21	20	17	20	7	22	25	21	15	16	3
Pocillopora_acuta_HIv2___RNAseq.g23174.t1	13	8	4	15	7	14	12	7	7	5	3	2	6	9	7	5	8	5
Pocillopora_acuta_HIv2___RNAseq.g23175.t1	3	1	1	0	0	1	0	0	2	0	0	0	1	0	1	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23176.t1	17	23	19	15	27	12	17	22	22	24	24	11	15	17	17	20	20	10
Pocillopora_acuta_HIv2___RNAseq.g23177.t2	34	18	29	48	23	21	32	30	29	30	22	27	16	17	23	17	19	16
Pocillopora_acuta_HIv2___RNAseq.g23178.t1	3	4	5	0	0	0	1	1	1	1	0	0	1	2	3	0	1	1
Pocillopora_acuta_HIv2___RNAseq.g23179.t1	6	1	2	4	2	5	4	2	3	1	3	3	6	4	2	4	3	2
Pocillopora_acuta_HIv2___RNAseq.g2318.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23180.t2	39	28	19	39	14	29	25	29	28	19	29	17	26	18	20	28	30	31
Pocillopora_acuta_HIv2___RNAseq.g23181.t1	6	4	1	1	2	2	3	5	3	0	1	1	4	1	2	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23182.t1	3	1	3	0	0	1	3	1	3	1	0	1	3	1	1	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23187.t1	23	3	6	17	12	12	27	27	27	4	9	5	10	13	17	4	9	4
Pocillopora_acuta_HIv2___RNAseq.g23188.t1	47	66	65	80	59	49	66	58	93	52	37	30	38	65	42	57	67	31
Pocillopora_acuta_HIv2___RNAseq.g23189.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g2319.t1	1	2	1	1	0	2	1	0	1	1	1	2	1	4	6	1	1	0
Pocillopora_acuta_HIv2___RNAseq.g23190.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23191.t1	9	3	3	11	3	2	0	3	4	1	1	1	4	3	1	0	3	1
Pocillopora_acuta_HIv2___RNAseq.g23192.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23193.t1	3	2	1	4	5	1	3	3	3	2	0	1	1	1	2	1	0	0
Pocillopora_acuta_HIv2___RNAseq.g23194.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23195.t1	7	3	3	15	8	3	8	7	6	6	6	3	0	0	5	2	3	1
Pocillopora_acuta_HIv2___RNAseq.g23196.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23197.t1	2	2	6	6	3	3	1	1	2	1	1	1	1	0	0	1	1	1
Pocillopora_acuta_HIv2___RNAseq.g23199.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g232.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g2320.t1	2	1	1	1	1	1	0	2	1	1	1	0	2	2	4	0	1	2
Pocillopora_acuta_HIv2___RNAseq.g23200.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23201.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23202.t1	11	5	12	11	4	5	2	2	2	1	0	0	6	3	3	4	1	0
Pocillopora_acuta_HIv2___RNAseq.g23203.t1	1	0	0	1	1	0	8	5	1	3	2	4	0	5	4	1	3	0
Pocillopora_acuta_HIv2___RNAseq.g23206.t1	33	30	37	73	40	37	30	35	45	15	21	13	11	17	15	18	9	8
Pocillopora_acuta_HIv2___RNAseq.g23208.t1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23209.t1	8	4	7	4	3	5	3	2	6	1	0	3	4	3	7	1	2	1
Pocillopora_acuta_HIv2___RNAseq.g2321.t1	7	1	2	0	1	0	1	3	2	2	2	1	5	1	3	5	4	0
Pocillopora_acuta_HIv2___RNAseq.g23210.t1	4	3	5	8	5	8	9	2	6	9	10	6	3	2	2	2	3	0
Pocillopora_acuta_HIv2___RNAseq.g23211.t1	7	5	2	11	11	15	7	8	13	7	9	9	3	5	12	38	24	21
Pocillopora_acuta_HIv2___RNAseq.g23212.t1	7	11	3	13	11	8	14	13	22	20	13	8	23	21	19	70	45	31
Pocillopora_acuta_HIv2___RNAseq.g23213.t1	2	1	2	2	2	3	8	6	5	6	7	3	7	5	6	13	6	10
Pocillopora_acuta_HIv2___RNAseq.g23214.t2	1	0	0	3	1	0	10	6	18	2	2	6	3	3	6	1	1	0
Pocillopora_acuta_HIv2___RNAseq.g23215.t1	10	3	5	12	3	12	6	5	12	0	2	0	5	5	8	2	0	0
Pocillopora_acuta_HIv2___RNAseq.g23218.t1a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23218.t1b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23218.t1c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23219.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g2322.t1a	18	12	20	24	23	18	15	15	11	9	4	12	11	9	15	14	14	9
Pocillopora_acuta_HIv2___RNAseq.g2322.t1b	20	20	18	86	37	51	60	27	38	51	50	52	37	42	41	99	59	57
Pocillopora_acuta_HIv2___RNAseq.g23220.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23221.t1	2	2	5	3	0	0	9	3	4	5	1	4	18	28	33	22	16	6
Pocillopora_acuta_HIv2___RNAseq.g23222.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23225.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23226.t1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23227.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
Pocillopora_acuta_HIv2___RNAseq.g23228.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Pocillopora_acuta_HIv2___RNAseq.g23229.t1	0	0	0	0	0	0	0	1	0	1	0	0	14	18	23	20	22	5
Pocillopora_acuta_HIv2___RNAseq.g23233.t1	2	0	0	2	0	1	0	0	0	0	0	0	1	0	1	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23234.t1	74	73	73	69	39	36	1	3	3	2	2	1	0	0	0	1	0	0
Pocillopora_acuta_HIv2___RNAseq.g23238.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23239.t1	0	0	0	3	2	1	0	0	1	0	1	0	0	1	1	1	3	2
Pocillopora_acuta_HIv2___RNAseq.g2324.t1	29	20	20	23	13	15	20	24	23	5	2	4	3	4	2	0	0	1
Pocillopora_acuta_HIv2___RNAseq.g23240.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23241.t1	4	4	2	7	3	4	5	1	0	0	0	0	2	1	0	1	4	1
Pocillopora_acuta_HIv2___RNAseq.g23242.t1	1	1	0	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23243.t1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23244.t1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23245.t1	1	0	1	0	0	0	0	0	0	0	1	0	0	3	5	7	3	3
Pocillopora_acuta_HIv2___RNAseq.g23246.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23248.t1	5	3	5	5	13	6	4	5	8	6	6	2	0	1	0	1	3	0
Pocillopora_acuta_HIv2___RNAseq.g23249.t1	3	1	1	9	5	1	0	0	2	0	0	0	1	0	1	1	0	0
Pocillopora_acuta_HIv2___RNAseq.g2325.t1	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23250.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23251.t1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1
Pocillopora_acuta_HIv2___RNAseq.g23252.t1	6	5	8	14	4	9	3	4	3	1	3	4	7	2	2	4	2	1
Pocillopora_acuta_HIv2___RNAseq.g23253.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23254.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23256.t1	17	11	10	20	14	12	7	5	5	0	1	0	1	0	0	2	2	0
Pocillopora_acuta_HIv2___RNAseq.g23257.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23258.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23259.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g2326.t1	15	14	16	15	5	8	7	5	6	3	1	1	8	8	13	3	7	3
Pocillopora_acuta_HIv2___RNAseq.g23260.t1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23261.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23262.t1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23263.t1	0	0	0	0	0	0	2	1	2	1	1	4	8	5	5	7	4	3
Pocillopora_acuta_HIv2___RNAseq.g23264.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23266.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23267.t1	2	1	0	7	5	1	2	3	5	1	4	1	4	4	6	5	10	2
Pocillopora_acuta_HIv2___RNAseq.g23268.t1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g23269.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g2327.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
Pocillopora_acuta_HIv2___RNAseq.g23270.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
