	ECAH1	ECAH2	ECAH3	ECAH4	ECAH5	ECAH6	ECG1	ECG2	ECG3	ECG4	ECG5	ECG6	ORAPG1	ORAPG2	ORAPG3	ORAPG4	ORAPG5	ORAPG6
Pocillopora_acuta_HIv2___RNAseq.14978_t	11	10	8	16	7	8	3	1	5	3	1	0	1	0	1	1	0	0
Pocillopora_acuta_HIv2___RNAseq.14988_t	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.14995_t	0	3	3	3	2	2	2	0	1	1	1	0	0	1	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.1501_t	1	0	1	0	1	1	0	1	1	0	1	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.15024_t	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Pocillopora_acuta_HIv2___RNAseq.15063_t	4	5	6	3	0	1	7	0	7	0	3	3	3	4	4	1	3	0
Pocillopora_acuta_HIv2___RNAseq.15065_t	8	5	3	15	2	7	11	6	11	6	4	1	6	7	15	8	8	6
Pocillopora_acuta_HIv2___RNAseq.15066_t	58	57	49	100	47	81	48	62	70	59	50	45	45	58	66	67	58	43
Pocillopora_acuta_HIv2___RNAseq.15099_t	28	19	25	34	21	32	12	15	6	11	14	11	9	16	18	29	15	14
Pocillopora_acuta_HIv2___RNAseq.15117_t	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.15123_t	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.15128_t	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0
Pocillopora_acuta_HIv2___RNAseq.15134_t	22	11	27	35	26	20	7	10	11	7	9	5	8	12	10	15	5	3
Pocillopora_acuta_HIv2___RNAseq.15138_t	10	13	9	8	15	8	31	1	17	9	4	2	10	18	17	38	37	17
Pocillopora_acuta_HIv2___RNAseq.1514_t	4	4	4	5	0	5	3	3	4	3	5	0	2	4	3	3	8	0
Pocillopora_acuta_HIv2___RNAseq.1528_t	2	0	2	1	0	1	21	24	24	8	21	11	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.15301_t	0	2	3	0	5	1	3	6	5	1	4	2	3	5	1	1	3	3
Pocillopora_acuta_HIv2___RNAseq.15343_t	26	21	19	33	18	19	22	18	25	14	10	6	9	18	21	18	14	7
Pocillopora_acuta_HIv2___RNAseq.15532_t	20	10	11	21	12	14	0	0	0	0	1	0	11	10	9	11	3	0
Pocillopora_acuta_HIv2___RNAseq.1568_t	57	30	42	57	31	39	47	28	53	31	40	45	46	34	44	56	46	31
Pocillopora_acuta_HIv2___RNAseq.15738_t	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.15744_t	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
