	ECAH1	ECAH2	ECAH3	P2_a	P2_b	P2_c	ECG1	ECG2	ECG3	ORAPG1	ORAPG2	ORAPG3	P3_a	P3_b	P3_c
Pocillopora_acuta_HIv2___RNAseq.1463_t	5	4	6	6	9	9	8	6	10	8	5	8	17	11	17
Pocillopora_acuta_HIv2___RNAseq.14666_t	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Pocillopora_acuta_HIv2___RNAseq.14688_t	247	177	173	150	215	174	170	134	180	229	261	317	280	148	205
Pocillopora_acuta_HIv2___RNAseq.14710_t	1	0	0	0	1	0	0	0	1	0	0	0	1	0	1
Pocillopora_acuta_HIv2___RNAseq.14721_t	2	2	1	16	17	17	0	2	1	1	1	1	11	11	16
Pocillopora_acuta_HIv2___RNAseq.14728_t	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.14729_t	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.14750_t	0	0	1	2	0	1	10	11	9	0	0	0	5	0	2
Pocillopora_acuta_HIv2___RNAseq.1475_t	6	5	6	0	1	2	3	3	5	5	8	9	2	5	3
Pocillopora_acuta_HIv2___RNAseq.14918_t	37	33	20	20	36	28	28	19	23	26	11	15	79	44	77
Pocillopora_acuta_HIv2___RNAseq.14958_t	4	8	3	3	2	5	7	2	5	4	3	2	8	6	11
Pocillopora_acuta_HIv2___RNAseq.14978_t	11	10	8	0	0	1	3	1	5	1	0	1	4	0	4
Pocillopora_acuta_HIv2___RNAseq.14988_t	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
Pocillopora_acuta_HIv2___RNAseq.14995_t	0	3	3	0	1	2	2	0	1	0	1	0	2	1	0
Pocillopora_acuta_HIv2___RNAseq.1501_t	1	0	1	0	0	0	0	1	1	0	0	0	3	2	0
Pocillopora_acuta_HIv2___RNAseq.15024_t	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.15063_t	4	5	6	1	4	1	7	0	7	3	4	4	2	1	3
Pocillopora_acuta_HIv2___RNAseq.15065_t	8	5	3	9	11	12	11	6	11	6	7	15	21	12	20
