	ECAH1	ECAH2	ECAH3	P2_a	P2_b	P2_c	ECG1	ECG2	ECG3	ORAPG1	ORAPG2	ORAPG3	P3_a	P3_b	P3_c
Pocillopora_acuta_HIv2___RNAseq.g30230.t1	1	0	1	0	1	1	1	0	0	0	0	1	1	0	1
Pocillopora_acuta_HIv2___RNAseq.g30231.t1	0	0	0	8	15	5	0	0	0	0	1	0	2	1	3
Pocillopora_acuta_HIv2___RNAseq.g30232.t1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Pocillopora_acuta_HIv2___RNAseq.g30233.t1	7	4	17	97	72	366	39	9	8	21	15	6	20	10	66
Pocillopora_acuta_HIv2___RNAseq.g30234.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30235.t1	3	1	0	0	1	3	3	1	1	0	1	0	8	3	2
Pocillopora_acuta_HIv2___RNAseq.g30236.t1	0	1	0	12	16	4	1	0	0	2	2	0	13	6	3
Pocillopora_acuta_HIv2___RNAseq.g30237.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30238.t1	2	0	0	8	0	0	2	1	0	0	0	1	8	1	1
Pocillopora_acuta_HIv2___RNAseq.g30239.t1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g3024.t1	1	0	1	1	0	0	0	3	0	0	0	0	2	0	0
Pocillopora_acuta_HIv2___RNAseq.g30240.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30241.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30242.t1	3	1	1	22	16	11	0	11	40	7	9	1	23	5	22
Pocillopora_acuta_HIv2___RNAseq.g30243.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30244.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30245.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30247.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30248.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30249.t1	16	8	9	1	1	0	3	3	1	0	0	0	2	1	0
Pocillopora_acuta_HIv2___RNAseq.g3025.t1	42	36	24	20	23	33	26	32	20	19	30	31	85	46	51
Pocillopora_acuta_HIv2___RNAseq.g30250.t1	0	2	3	1	0	3	30	15	23	7	10	10	1	0	0
Pocillopora_acuta_HIv2___RNAseq.g30251.t1	3	4	2	0	0	0	0	0	1	0	0	0	0	0	1
Pocillopora_acuta_HIv2___RNAseq.g30252.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30253.t1	0	0	0	0	0	0	4	1	1	0	2	2	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30254.t1	46	40	43	27	48	32	60	50	57	40	45	43	36	25	36
Pocillopora_acuta_HIv2___RNAseq.g30255.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30257.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30258.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30259.t1	16	17	16	14	5	11	24	21	29	25	29	34	39	15	20
Pocillopora_acuta_HIv2___RNAseq.g3026.t1	289	228	266	103	125	164	365	233	434	250	269	315	500	252	326
Pocillopora_acuta_HIv2___RNAseq.g30260.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30261.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30262.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30263.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30264.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30265.t1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4
Pocillopora_acuta_HIv2___RNAseq.g30266.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30267.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30268.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30269.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g3027.t1	6	11	7	4	4	8	3	3	8	3	1	4	5	3	7
Pocillopora_acuta_HIv2___RNAseq.g30270.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30271.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30272.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30273.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30274.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30275.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30276.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30277.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30278.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30279.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g3028.t1	1	1	0	9	11	3	0	2	2	2	1	2	2	0	2
Pocillopora_acuta_HIv2___RNAseq.g30280.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30281.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30282.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30283.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30284.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30285.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30286.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30287.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30288.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30289.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30290.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30291.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30292.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30293.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30294.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30295.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30296.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30297.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30298.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30299.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g303.t1	5	7	6	1	10	4	12	11	13	5	4	6	17	17	12
Pocillopora_acuta_HIv2___RNAseq.g3030.t1	5	6	2	1	0	0	1	3	4	0	0	0	8	9	3
Pocillopora_acuta_HIv2___RNAseq.g30300.t1	52	30	32	30	48	47	43	37	51	34	25	37	99	48	61
Pocillopora_acuta_HIv2___RNAseq.g30302.t1	37	36	30	10	28	33	11	16	20	9	8	14	56	30	45
Pocillopora_acuta_HIv2___RNAseq.g30303.t2	69	52	45	39	55	52	79	66	98	76	70	75	105	50	76
Pocillopora_acuta_HIv2___RNAseq.g30304.t2	2337	2934	701	2804	5062	3841	212	189	326	82	45	29	4012	2330	3972
Pocillopora_acuta_HIv2___RNAseq.g30306.t1	16	25	15	1	0	0	9	14	8	0	1	1	2	1	3
Pocillopora_acuta_HIv2___RNAseq.g30307.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30309.t1	3	2	3	5	7	1	1	3	2	0	0	0	5	3	3
Pocillopora_acuta_HIv2___RNAseq.g3031.t1	1	0	0	0	0	0	0	0	0	0	0	0	1	2	1
Pocillopora_acuta_HIv2___RNAseq.g30310.t1	36	26	14	6	36	17	23	14	16	20	20	21	39	28	42
Pocillopora_acuta_HIv2___RNAseq.g30311.t1	33	32	23	34	42	48	35	40	38	29	37	48	148	93	121
Pocillopora_acuta_HIv2___RNAseq.g30312.t1	161	85	114	36	62	36	99	98	110	74	73	87	100	52	77
Pocillopora_acuta_HIv2___RNAseq.g30313.t1	76	58	62	59	80	83	69	103	87	81	76	81	141	112	140
Pocillopora_acuta_HIv2___RNAseq.g30315.t1	2	2	2	1	1	0	2	1	1	0	0	1	1	1	2
Pocillopora_acuta_HIv2___RNAseq.g30316.t1	1	0	2	0	0	1	1	2	0	0	1	0	5	2	1
Pocillopora_acuta_HIv2___RNAseq.g30318.t1	6	1	3	0	2	0	3	2	0	1	3	3	1	0	0
Pocillopora_acuta_HIv2___RNAseq.g3032.t1	3	8	7	3	1	1	4	7	7	0	1	0	3	4	2
Pocillopora_acuta_HIv2___RNAseq.g30320.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30322.t1	6	3	7	7	4	16	13	9	14	9	8	7	19	10	11
Pocillopora_acuta_HIv2___RNAseq.g30323.t1	6	4	5	4	1	3	1	3	6	5	0	0	12	6	11
Pocillopora_acuta_HIv2___RNAseq.g30324.t1	26	36	24	74	132	71	28	33	29	27	32	30	53	36	56
Pocillopora_acuta_HIv2___RNAseq.g30327.t1	0	1	1	0	1	4	1	2	2	1	0	0	1	4	4
Pocillopora_acuta_HIv2___RNAseq.g30329.t1	3	0	1	1	2	2	0	1	2	0	0	0	1	1	2
Pocillopora_acuta_HIv2___RNAseq.g30330.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30331.t1a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30331.t1b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30332.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30333.t1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1
Pocillopora_acuta_HIv2___RNAseq.g30334.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30335.t1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30339.t1	12	12	19	0	0	0	0	1	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g3034.t1	0	0	1	1	0	2	1	0	5	0	1	0	3	0	0
Pocillopora_acuta_HIv2___RNAseq.g30340.t1	17	21	19	32	37	42	17	6	13	19	17	9	57	31	60
Pocillopora_acuta_HIv2___RNAseq.g30341.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30342.t1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30344.t1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0
Pocillopora_acuta_HIv2___RNAseq.g30345.t1	2	3	5	4	2	1	7	1	6	2	1	1	10	4	5
Pocillopora_acuta_HIv2___RNAseq.g30347.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30349.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g3035.t1	5	1	0	1	4	4	1	0	1	0	0	0	3	1	5
Pocillopora_acuta_HIv2___RNAseq.g30352.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30355.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30356.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30357.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30359.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g3036.t1	2	3	0	0	2	1	2	1	4	1	1	2	2	1	2
Pocillopora_acuta_HIv2___RNAseq.g30360.t1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30364.t1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30365.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30366.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30367.t1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30368.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30369.t1	2	1	4	1	0	0	2	4	6	1	5	1	4	2	2
Pocillopora_acuta_HIv2___RNAseq.g3037.t1	9	8	12	10	10	16	7	7	11	8	10	12	26	12	18
Pocillopora_acuta_HIv2___RNAseq.g30370.t1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30371.t1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30372.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30373.t2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Pocillopora_acuta_HIv2___RNAseq.g30374.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30375.t1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1
Pocillopora_acuta_HIv2___RNAseq.g30376.t1	8	1	4	17	36	38	1	2	6	2	5	4	61	38	59
Pocillopora_acuta_HIv2___RNAseq.g30377.t2	22	16	12	30	30	23	19	8	8	13	30	10	46	27	45
Pocillopora_acuta_HIv2___RNAseq.g30378.t1	7	2	5	0	7	6	5	4	3	1	5	6	12	3	5
Pocillopora_acuta_HIv2___RNAseq.g30379.t1	45	32	21	61	76	74	54	52	54	34	35	38	134	86	135
Pocillopora_acuta_HIv2___RNAseq.g3038.t1	41	30	38	19	41	33	49	46	36	33	26	39	83	34	63
Pocillopora_acuta_HIv2___RNAseq.g30380.t1	17	14	16	29	43	57	21	22	21	20	16	14	80	47	58
Pocillopora_acuta_HIv2___RNAseq.g30382.t1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30383.t1	11	4	4	4	13	3	4	4	9	5	2	4	16	14	15
Pocillopora_acuta_HIv2___RNAseq.g30384.t1	1	0	0	0	0	0	0	0	1	0	1	0	1	1	3
Pocillopora_acuta_HIv2___RNAseq.g30385.t1	6	5	7	8	12	4	1	6	11	0	0	2	9	11	12
Pocillopora_acuta_HIv2___RNAseq.g30386.t1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30387.t1	2	0	0	3	5	6	0	1	1	0	0	0	7	6	5
Pocillopora_acuta_HIv2___RNAseq.g30388.t1	9	7	8	9	11	13	15	7	11	5	4	9	31	10	23
Pocillopora_acuta_HIv2___RNAseq.g30389.t1	46	50	53	12	19	15	21	26	22	26	20	27	148	93	124
Pocillopora_acuta_HIv2___RNAseq.g3039.t1	259	197	253	135	100	161	312	248	357	285	347	309	408	219	267
Pocillopora_acuta_HIv2___RNAseq.g30390.t1	112	138	109	95	130	90	209	157	149	95	79	116	228	146	217
Pocillopora_acuta_HIv2___RNAseq.g30393.t1	7	7	2	16	3	8	0	3	5	9	15	6	11	14	12
Pocillopora_acuta_HIv2___RNAseq.g30394.t1a	137	90	96	70	120	82	79	80	70	61	73	66	154	69	119
Pocillopora_acuta_HIv2___RNAseq.g30394.t1b	32	17	18	42	80	53	17	14	17	13	15	13	73	52	64
Pocillopora_acuta_HIv2___RNAseq.g30398.t1	2	2	2	0	3	0	1	0	0	4	1	3	2	0	2
Pocillopora_acuta_HIv2___RNAseq.g30399.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g304.t1	40	18	16	30	28	23	15	27	18	2	7	2	24	7	16
Pocillopora_acuta_HIv2___RNAseq.g3040.t1	15	15	7	7	10	5	10	4	9	2	1	3	1	0	2
Pocillopora_acuta_HIv2___RNAseq.g30400.t1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30401.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30402.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30403.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30404.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30405.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30406.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30407.t1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30408.t1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30409.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30410.t1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30412.t1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
Pocillopora_acuta_HIv2___RNAseq.g30413.t1	1	0	1	0	2	1	2	1	0	1	0	0	2	0	1
Pocillopora_acuta_HIv2___RNAseq.g30414.t1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Pocillopora_acuta_HIv2___RNAseq.g30415.t1	2	8	1	5	3	4	4	4	1	2	2	1	10	4	6
Pocillopora_acuta_HIv2___RNAseq.g30416.t1	0	0	0	0	0	0	0	0	0	0	0	0	4	3	3
Pocillopora_acuta_HIv2___RNAseq.g30417.t1	30	19	17	24	15	30	12	9	19	19	17	15	47	36	43
Pocillopora_acuta_HIv2___RNAseq.g30418.t1	21	25	19	4	3	10	6	1	6	1	4	5	10	9	10
Pocillopora_acuta_HIv2___RNAseq.g3042.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30420.t1	5	5	1	1	1	2	1	1	2	2	1	3	3	4	3
Pocillopora_acuta_HIv2___RNAseq.g30421.t1	4	3	3	2	0	1	3	3	2	2	1	2	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30422.t1	2	2	3	1	0	1	4	4	2	5	3	4	3	2	0
Pocillopora_acuta_HIv2___RNAseq.g30424.t1	15	16	16	31	66	65	17	12	10	3	8	19	177	92	102
Pocillopora_acuta_HIv2___RNAseq.g30425.t2	396	292	273	216	282	276	289	224	309	181	248	258	843	430	637
Pocillopora_acuta_HIv2___RNAseq.g30426.t1	9	7	4	6	1	3	5	8	11	8	7	4	13	8	12
Pocillopora_acuta_HIv2___RNAseq.g30427.t1	27	17	20	17	29	45	22	18	23	10	16	10	83	39	55
Pocillopora_acuta_HIv2___RNAseq.g30429.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g3043.t1	2	1	2	2	2	1	1	4	2	3	4	1	4	0	2
Pocillopora_acuta_HIv2___RNAseq.g30430.t1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30431.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30432.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30433.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3
Pocillopora_acuta_HIv2___RNAseq.g30434.t1	0	0	0	0	3	0	0	0	0	1	1	0	5	2	4
Pocillopora_acuta_HIv2___RNAseq.g30437.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30439.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g3044.t1	0	1	0	0	5	2	1	0	1	0	0	0	0	0	1
Pocillopora_acuta_HIv2___RNAseq.g30440.t1a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30440.t1b	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30441.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30442.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30443.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30444.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30445.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30446.t1	1	1	0	2	1	2	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30447.t1	6	3	1	15	16	19	5	4	2	2	5	2	37	17	18
Pocillopora_acuta_HIv2___RNAseq.g30448.t1	18	16	15	39	50	25	16	15	7	18	19	13	61	46	75
Pocillopora_acuta_HIv2___RNAseq.g30449.t1	12	16	20	58	27	35	59	33	104	26	25	25	116	106	159
Pocillopora_acuta_HIv2___RNAseq.g3045.t1	185	142	115	460	368	513	237	239	243	235	259	238	909	588	777
Pocillopora_acuta_HIv2___RNAseq.g30450.t1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30451.t1	1	1	3	10	6	12	2	5	4	1	4	1	67	31	29
Pocillopora_acuta_HIv2___RNAseq.g30452.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30454.t1	4	3	3	4	5	1	5	4	4	5	6	3	10	6	6
Pocillopora_acuta_HIv2___RNAseq.g30457.t1	153	105	111	56	86	101	109	79	116	112	110	99	166	123	147
Pocillopora_acuta_HIv2___RNAseq.g30458.t1	1	2	3	6	3	6	1	0	4	0	2	1	10	5	9
Pocillopora_acuta_HIv2___RNAseq.g30459.t1	37	20	41	26	24	28	32	32	43	24	25	27	57	49	54
Pocillopora_acuta_HIv2___RNAseq.g3046.t1	3	0	3	4	4	4	5	3	3	1	4	7	17	4	6
Pocillopora_acuta_HIv2___RNAseq.g30460.t1	2	1	1	1	10	4	5	4	4	5	3	7	3	2	5
Pocillopora_acuta_HIv2___RNAseq.g30462.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30463.t1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0
Pocillopora_acuta_HIv2___RNAseq.g30464.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30465.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30466.t1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Pocillopora_acuta_HIv2___RNAseq.g30467.t1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Pocillopora_acuta_HIv2___RNAseq.g30468.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30469.t1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0
Pocillopora_acuta_HIv2___RNAseq.g30470.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30473.t1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30474.t1	13	10	7	0	0	0	1	0	8	2	0	4	0	1	1
Pocillopora_acuta_HIv2___RNAseq.g30478.t1	3	6	1	1	0	0	0	0	1	1	0	0	5	2	4
Pocillopora_acuta_HIv2___RNAseq.g30479.t1	73	126	54	46	73	45	53	49	71	58	62	70	155	104	146
Pocillopora_acuta_HIv2___RNAseq.g3048.t1	0	0	0	1	2	0	0	0	0	0	0	0	2	1	1
Pocillopora_acuta_HIv2___RNAseq.g30481.t1	150	102	116	183	225	278	2	3	1	3	1	2	429	247	321
Pocillopora_acuta_HIv2___RNAseq.g30483.t1	0	0	0	0	3	1	0	0	0	0	0	0	1	1	0
Pocillopora_acuta_HIv2___RNAseq.g30484.t1	2	0	3	0	2	1	0	0	0	0	0	0	8	2	8
Pocillopora_acuta_HIv2___RNAseq.g30485.t1	50	58	61	38	54	85	134	108	113	121	125	139	110	59	81
Pocillopora_acuta_HIv2___RNAseq.g30486.t1	31	30	30	57	64	63	57	58	50	28	36	46	43	24	50
Pocillopora_acuta_HIv2___RNAseq.g30487.t1	13	7	10	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.g30490.t1	0	0	1	0	0	0	4	2	4	0	0	0	1	1	1
