individual,gen,treatment,treat,day,percent_tissue_loss
G4D_-8,ORAPG,infected,Gen4:Dinf,3,60
G4D_-9,ORAPG,infected,Gen4:Dinf,3,80
G4D_-10,ORAPG,infected,Gen4:Dinf,3,80
G4D_-11,ORAPG,infected,Gen4:Dinf,3,60
G4D_-12,ORAPG,infected,Gen4:Dinf,3,100
G4D_-1,ORAPG,control,Gen4:Dcontrol,4,0
G4D_-2,ORAPG,control,Gen4:Dcontrol,4,0
G4D_-3,ORAPG,control,Gen4:Dcontrol,4,0
G4D_-4,ORAPG,control,Gen4:Dcontrol,4,0
G4D_-5,ORAPG,control,Gen4:Dcontrol,4,0
G4D_-6,ORAPG,control,Gen4:Dcontrol,4,0
G4D_-7,ORAPG,control,Gen4:Dcontrol,4,0
G4D_-8,ORAPG,control,Gen4:Dcontrol,4,0
G4D_-9,ORAPG,control,Gen4:Dcontrol,4,0
G4D_-10,ORAPG,control,Gen4:Dcontrol,4,0
G4D_-11,ORAPG,control,Gen4:Dcontrol,4,0
G4D_-12,ORAPG,control,Gen4:Dcontrol,4,0
G4D_-1,ORAPG,infected,Gen4:Dinf,4,80
G4D_-2,ORAPG,infected,Gen4:Dinf,4,20
G4D_-3,ORAPG,infected,Gen4:Dinf,4,70
G4D_-4,ORAPG,infected,Gen4:Dinf,4,70
G4D_-5,ORAPG,infected,Gen4:Dinf,4,90
G4D_-6,ORAPG,infected,Gen4:Dinf,4,90
G4D_-7,ORAPG,infected,Gen4:Dinf,4,90
G4D_-8,ORAPG,infected,Gen4:Dinf,4,90
G4D_-9,ORAPG,infected,Gen4:Dinf,4,100
G4D_-10,ORAPG,infected,Gen4:Dinf,4,90
G4D_-11,ORAPG,infected,Gen4:Dinf,4,100
G4D_-12,ORAPG,infected,Gen4:Dinf,4,100
G4D_-1,ORAPG,control,Gen4:Dcontrol,5,0
G4D_-2,ORAPG,control,Gen4:Dcontrol,5,0
G4D_-3,ORAPG,control,Gen4:Dcontrol,5,0
G4D_-4,ORAPG,control,Gen4:Dcontrol,5,0
G4D_-5,ORAPG,control,Gen4:Dcontrol,5,0
G4D_-6,ORAPG,control,Gen4:Dcontrol,5,0
G4D_-7,ORAPG,control,Gen4:Dcontrol,5,0
G4D_-8,ORAPG,control,Gen4:Dcontrol,5,0
G4D_-9,ORAPG,control,Gen4:Dcontrol,5,0
G4D_-10,ORAPG,control,Gen4:Dcontrol,5,0
G4D_-11,ORAPG,control,Gen4:Dcontrol,5,0
G4D_-12,ORAPG,control,Gen4:Dcontrol,5,0
G4D_-1,ORAPG,infected,Gen4:Dinf,5,90
G4D_-2,ORAPG,infected,Gen4:Dinf,5,80
G4D_-3,ORAPG,infected,Gen4:Dinf,5,90
G4D_-4,ORAPG,infected,Gen4:Dinf,5,80
G4D_-5,ORAPG,infected,Gen4:Dinf,5,100
G4D_-6,ORAPG,infected,Gen4:Dinf,5,100
G4D_-7,ORAPG,infected,Gen4:Dinf,5,90
G4D_-8,ORAPG,infected,Gen4:Dinf,5,90
G4D_-9,ORAPG,infected,Gen4:Dinf,5,100
G4D_-10,ORAPG,infected,Gen4:Dinf,5,90
G4D_-11,ORAPG,infected,Gen4:Dinf,5,100
G4D_-12,ORAPG,infected,Gen4:Dinf,5,100
G4D_-1,ORAPG,control,Gen4:Dcontrol,6,0
G4D_-2,ORAPG,control,Gen4:Dcontrol,6,0
G4D_-3,ORAPG,control,Gen4:Dcontrol,6,0
G4D_-4,ORAPG,control,Gen4:Dcontrol,6,0
G4D_-5,ORAPG,control,Gen4:Dcontrol,6,0
G4D_-6,ORAPG,control,Gen4:Dcontrol,6,0
G4D_-7,ORAPG,control,Gen4:Dcontrol,6,0
G4D_-8,ORAPG,control,Gen4:Dcontrol,6,0
G4D_-9,ORAPG,control,Gen4:Dcontrol,6,0
G4D_-10,ORAPG,control,Gen4:Dcontrol,6,0
G4D_-11,ORAPG,control,Gen4:Dcontrol,6,0
G4D_-12,ORAPG,control,Gen4:Dcontrol,6,0
G4D_-1,ORAPG,infected,Gen4:Dinf,6,100
G4D_-2,ORAPG,infected,Gen4:Dinf,6,100
G4D_-3,ORAPG,infected,Gen4:Dinf,6,100
G4D_-4,ORAPG,infected,Gen4:Dinf,6,80
G4D_-5,ORAPG,infected,Gen4:Dinf,6,100
G4D_-6,ORAPG,infected,Gen4:Dinf,6,100
G4D_-7,ORAPG,infected,Gen4:Dinf,6,100
G4D_-8,ORAPG,infected,Gen4:Dinf,6,100
